datetime_et,open,high,low,close,volume,vwap,transactions,ret_log
2024-03-13 13:02:18-04:00,47.11,47.11,47.11,47.11,1,47.11,1,0.012173134837804245
2024-03-13 13:10:29-04:00,47.24,47.24,47.24,47.24,7,47.24,1,0.0027556986172116993
2024-03-13 13:15:39-04:00,47.18,47.18,47.18,47.18,2,47.18,1,-0.0012709173496325832
2024-03-13 13:26:06-04:00,47.27,47.27,47.27,47.27,1,47.27,1,0.0019057708256160488
2024-03-13 13:35:55-04:00,47.08,47.11,46.92,47.1,12,47.0883,9,-0.0036028437827728688
2024-03-13 14:35:52-04:00,47.2,47.2,47.2,47.2,1,47.2,1,0.0021208915691373065
2024-03-13 14:37:17-04:00,47.12,47.12,47.12,47.12,7,47.12,1,-0.001696353248178184
2024-03-13 14:43:25-04:00,47.0,47.0,47.0,47.0,1,47.0,1,-0.002549937633272936
2024-03-13 14:48:22-04:00,47.01,47.01,47.01,47.01,1,47.01,1,0.0002127433259806466
2024-03-13 15:27:53-04:00,46.16,46.16,46.16,46.16,1,46.16,1,-0.018246722836194884
2024-03-13 15:50:12-04:00,46.36,46.38,46.36,46.38,10,46.366,2,0.00475470962754132
2024-03-14 09:30:01-04:00,46.94,46.94,46.93,46.93,2,46.935,2,0.011788797978940835
2024-03-14 09:31:33-04:00,46.78,46.78,46.78,46.78,1,46.78,1,-0.0032013686502931904
2024-03-14 09:33:32-04:00,46.64,46.64,46.64,46.64,5,46.64,3,-0.0029972191137961346
2024-03-14 09:35:44-04:00,46.82,46.82,46.82,46.82,1,46.82,1,0.0038519200205278104
2024-03-14 09:36:35-04:00,46.74,46.74,46.74,46.74,14,46.74,1,-0.0017101329520530228
2024-03-14 09:53:53-04:00,44.19,44.19,44.19,44.19,1,44.19,1,-0.05610180996806324
2024-03-14 09:56:42-04:00,44.21,44.21,44.21,44.21,1,44.21,1,0.00045248869550329474
2024-03-14 10:03:38-04:00,43.76,44.02,43.76,44.02,8,43.8575,4,-0.004306931739836095
2024-03-14 10:03:39-04:00,43.76,44.11,43.76,44.11,4,43.935,4,0.002042438018532433
2024-03-14 10:05:36-04:00,44.15,44.15,44.15,44.15,1,44.15,1,0.0009064129331206594
2024-03-14 10:10:04-04:00,44.42,44.42,44.42,44.42,1,44.42,1,0.006096891416312644
2024-03-14 10:41:10-04:00,44.8,44.8,44.8,44.8,1,44.8,1,0.008518320954657987
2024-03-14 10:41:37-04:00,44.63,44.63,44.63,44.63,1,44.63,1,-0.0038018607797609683
2024-03-14 10:48:34-04:00,45.12,45.12,45.12,45.12,47,45.12,1,0.010919328548625096
