datetime_et,open,high,low,close,volume,vwap,transactions,ret_log,rv_5m
2024-03-14 10:03:00-04:00,43.76,44.11,43.76,44.11,12,43.8833,8,-0.002264493721303662,0.02524085865369002
2024-03-14 10:05:00-04:00,44.15,44.15,44.15,44.15,1,44.15,1,0.0009064129331206594,0.02483416052058789
2024-03-14 10:10:00-04:00,44.42,44.42,44.42,44.42,1,44.42,1,0.006096891416312644,0.02584745350154618
2024-03-14 10:41:00-04:00,44.8,44.8,44.63,44.63,2,44.715,2,0.004716460174897019,0.003388901153259912
2024-03-14 10:48:00-04:00,45.12,45.12,45.12,45.12,47,45.12,1,0.010919328548625096,0.005039183315468955
2024-03-14 11:10:00-04:00,44.89,44.89,44.89,44.89,45,44.89,1,-0.005110554395962641,0.006002879194306916
2024-03-14 11:20:00-04:00,44.97,44.97,44.58,44.58,14,44.675,10,-0.006929724836118201,0.0076485152634939045
2024-03-14 11:26:00-04:00,44.23,44.23,44.19,44.2,5,44.21,4,-0.008560538874070378,0.008425676642457445
2024-03-14 11:32:00-04:00,44.25,44.25,44.21,44.21,5,44.226,4,0.00022621875449946316,0.007887080575835235
2024-03-14 11:45:00-04:00,44.62,44.62,44.62,44.62,3,44.62,1,0.00923118116623467,0.0072085436329156205
2024-03-14 11:53:00-04:00,44.74,44.74,44.74,44.74,2,44.74,1,0.002685767057597044,0.007272250788935785
2024-03-14 12:08:00-04:00,44.0,44.0,44.0,44.0,5,44.0,2,-0.016678322143722557,0.010119647229592844
2024-03-14 12:10:00-04:00,43.97,43.97,43.97,43.97,4,43.97,1,-0.0006820507255422825,0.009561210705197425
2024-03-14 12:41:00-04:00,44.54,44.54,44.54,44.54,1,44.54,1,0.012880078636502645,0.011466203974064745
2024-03-14 13:00:00-04:00,43.85,43.85,43.85,43.85,7,43.85,4,-0.015612943011029223,0.012598624715630292
2024-03-14 13:05:00-04:00,43.81,44.0,43.8,43.81,7521,43.8183,16,-0.0009126169923852068,0.012256383287971087
2024-03-14 13:15:00-04:00,43.76,43.76,43.76,43.76,1,43.76,1,-0.001141943712081428,0.010078187838612458
2024-03-14 13:27:00-04:00,43.44,43.44,43.44,43.44,3,43.44,1,-0.007339482488045501,0.01044333455043117
2024-03-14 13:31:00-04:00,42.76,42.76,42.76,42.76,10,42.76,1,-0.01577758946883545,0.007348892854816073
2024-03-14 13:41:00-04:00,43.45,43.45,43.45,43.45,5,43.45,1,0.01600776555455674,0.011666088717252837
2024-03-14 13:55:00-04:00,44.45,44.45,44.45,44.45,6,44.45,1,0.022754110248512482,0.016093755535286178
2024-03-14 14:20:00-04:00,44.98,44.98,44.98,44.98,1,44.98,1,0.011852984571255831,0.016325333025446014
2024-03-14 14:30:00-04:00,44.67,44.67,44.67,44.67,1,44.67,1,-0.006915811167142127,0.016242925577464387
2024-03-14 14:49:00-04:00,44.85,44.85,44.85,44.85,1,44.85,1,0.00402145314077762,0.011435062254883447
2024-03-14 14:55:00-04:00,44.1,44.1,44.1,44.1,5,44.1,1,-0.016863806052004993,0.01551235887637658
2024-03-14 14:57:00-04:00,43.65,44.2,43.65,44.15,23400,44.1087,12,0.0011331445971687337,0.010965783745164978
2024-03-14 15:04:00-04:00,43.63,43.63,43.63,43.63,50,43.63,1,-0.011847939914450656,0.008722469977755732
2024-03-14 15:05:00-04:00,43.16,43.17,43.16,43.17,25815,43.1665,2,-0.010599177568132223,0.008961436597348247
2024-03-14 15:06:00-04:00,43.39,43.39,43.39,43.39,1,43.39,1,0.005083190242873403,0.009289465531557456
2024-03-14 15:07:00-04:00,43.32,43.32,43.32,43.32,1,43.32,1,-0.0016145776774694198,0.007395176961150946
2024-03-14 15:08:00-04:00,43.14,43.14,43.14,43.14,3,43.14,1,-0.004163781171779846,0.006917115042069247
2024-03-14 15:18:00-04:00,42.85,42.85,42.85,42.85,1,42.85,1,-0.006744995917221441,0.0058850811420051215
2024-03-14 15:29:00-04:00,42.75,42.75,42.75,42.75,95,42.75,1,-0.002336449661019646,0.0044051188328788895
2024-03-14 15:32:00-04:00,42.42,42.42,42.42,42.42,11,42.42,1,-0.007749246246232744,0.0026793135583681104
2024-03-14 15:36:00-04:00,42.29,42.29,42.28,42.28,3600,42.2892,2,-0.0033057881344995543,0.0023005192326229704
2024-03-14 15:38:00-04:00,42.37,42.37,42.37,42.37,30,42.37,1,0.002126403636431018,0.0039237113207087025
2024-03-14 15:47:00-04:00,42.96,42.97,42.96,42.97,10,42.969,6,0.014061633148435781,0.008323536318336102
2024-03-14 15:50:00-04:00,43.58,43.58,43.58,43.58,1,43.58,1,0.01409613172957025,0.00997470778559655
2024-03-14 15:55:00-04:00,44.2,44.2,44.2,44.2,1,44.2,1,0.014126459567178618,0.008269153079991588
2024-03-15 09:30:00-04:00,40.27,40.27,40.27,40.27,1,40.27,1,-0.09311801422028942,0.046896139468788886
2024-03-15 09:40:00-04:00,39.09,39.09,39.09,39.09,2,39.09,1,-0.029740095058499616,0.047045177647195006
2024-03-15 09:49:00-04:00,39.56,39.56,39.56,39.56,1,39.56,1,0.011951826949648137,0.04671515608168689
2024-03-15 10:38:00-04:00,41.0,41.0,41.0,41.0,25,41.0,1,0.035753559949796454,0.05106690942350992
2024-03-15 11:34:00-04:00,40.4,40.4,40.4,40.4,4,40.4,1,-0.014742281737203378,0.048932896809643536
2024-03-15 11:37:00-04:00,40.15,40.15,40.15,40.15,2,40.15,1,-0.006207344574333806,0.025296843763816357
2024-03-15 13:48:00-04:00,39.0,39.0,39.0,39.0,1,39.0,1,-0.029060794263124468,0.025102272512446403
2024-03-15 14:06:00-04:00,39.5,39.5,39.5,39.5,1,39.5,1,0.012739025777429802,0.025201859172510138
2024-03-15 15:25:00-04:00,40.0,40.0,40.0,40.0,1,40.0,1,0.01257878220686015,0.018020538816481368
2024-03-15 15:48:00-04:00,39.77,39.77,39.77,39.77,1,39.77,1,-0.005766594894336841,0.017229471082411938
2024-03-15 15:56:00-04:00,39.51,39.51,39.51,39.51,1,39.51,1,-0.0065590547963001455,0.01724581765879537
